campaign,scenario,edp,global_email_reservation_capacity,proprietary_identifiers,global_reservation_feasible,future_aware_reservation_capacity,future_aware_reservation_feasible,mean_cross_mode_share_of_true_pair_overlap
provider_eval_unrelated_niche_control,unrelated_niche_control,4,9708,455,True,11748,True,0.4427216958543194
provider_eval_unrelated_niche_control,unrelated_niche_control,5,9708,431,True,11818,True,0.4427216958543194
provider_eval_unrelated_niche_control,unrelated_niche_control,6,9708,397,True,11877,True,0.4427216958543194
provider_eval_unrelated_niche_control,unrelated_niche_control,7,9708,365,True,11938,True,0.4427216958543194
provider_eval_unrelated_niche_control,unrelated_niche_control,8,9708,303,True,11970,True,0.4427216958543194
provider_eval_unrelated_niche_control,unrelated_niche_control,9,9708,233,True,11993,True,0.4427216958543194
provider_eval_mixed_funnel_portfolio,mixed_funnel_portfolio,0,5680,1637,True,8597,True,0.4530443920689124
provider_eval_mixed_funnel_portfolio,mixed_funnel_portfolio,1,5680,960,True,10560,True,0.4530443920689124
provider_eval_mixed_funnel_portfolio,mixed_funnel_portfolio,2,5680,354,True,11454,True,0.4530443920689124
provider_eval_mixed_funnel_portfolio,mixed_funnel_portfolio,3,5680,186,True,11766,True,0.4530443920689124
provider_eval_mixed_funnel_portfolio,mixed_funnel_portfolio,4,5680,3241,True,10201,True,0.4530443920689124
provider_eval_mixed_funnel_portfolio,mixed_funnel_portfolio,5,5680,1708,True,11308,True,0.4530443920689124
provider_eval_mixed_funnel_portfolio,mixed_funnel_portfolio,6,5680,642,True,11742,True,0.4530443920689124
provider_eval_mixed_funnel_portfolio,mixed_funnel_portfolio,7,5680,318,True,11898,True,0.4530443920689124
provider_eval_mixed_funnel_portfolio,mixed_funnel_portfolio,8,5680,4494,True,11454,True,0.4530443920689124
provider_eval_mixed_funnel_portfolio,mixed_funnel_portfolio,9,5680,2272,True,11872,True,0.4530443920689124
provider_eval_linkage_shift_-1.0,linkage_shift_-1.0,0,9854,1083,True,10923,True,0.243847968470004
provider_eval_linkage_shift_-1.0,linkage_shift_-1.0,1,9854,1165,True,11212,True,0.243847968470004
provider_eval_linkage_shift_-1.0,linkage_shift_-1.0,2,9854,1227,True,11480,True,0.243847968470004
provider_eval_linkage_shift_-1.0,linkage_shift_-1.0,3,9854,1177,True,11637,True,0.243847968470004
provider_eval_linkage_shift_-1.0,linkage_shift_-1.0,4,9854,1116,True,11783,True,0.243847968470004
provider_eval_linkage_shift_-1.0,linkage_shift_-1.0,5,9854,1014,True,11887,True,0.243847968470004
provider_eval_linkage_shift_-1.0,linkage_shift_-1.0,6,9854,851,True,11931,True,0.243847968470004
provider_eval_linkage_shift_-1.0,linkage_shift_-1.0,7,9854,682,True,11969,True,0.243847968470004
provider_eval_linkage_shift_-1.0,linkage_shift_-1.0,8,9854,492,True,11985,True,0.243847968470004
provider_eval_linkage_shift_-1.0,linkage_shift_-1.0,9,9854,296,True,11996,True,0.243847968470004
provider_eval_linkage_shift_0.0,linkage_shift_0.0,0,7978,680,True,10520,True,0.4264566678860811
provider_eval_linkage_shift_0.0,linkage_shift_0.0,1,7978,799,True,10846,True,0.4264566678860811
provider_eval_linkage_shift_0.0,linkage_shift_0.0,2,7978,855,True,11108,True,0.4264566678860811
provider_eval_linkage_shift_0.0,linkage_shift_0.0,3,7978,908,True,11368,True,0.4264566678860811
provider_eval_linkage_shift_0.0,linkage_shift_0.0,4,7978,843,True,11510,True,0.4264566678860811
provider_eval_linkage_shift_0.0,linkage_shift_0.0,5,7978,813,True,11686,True,0.4264566678860811
provider_eval_linkage_shift_0.0,linkage_shift_0.0,6,7978,716,True,11796,True,0.4264566678860811
provider_eval_linkage_shift_0.0,linkage_shift_0.0,7,7978,611,True,11898,True,0.4264566678860811
provider_eval_linkage_shift_0.0,linkage_shift_0.0,8,7978,458,True,11951,True,0.4264566678860811
provider_eval_linkage_shift_0.0,linkage_shift_0.0,9,7978,280,True,11980,True,0.4264566678860811
provider_eval_linkage_shift_1.0,linkage_shift_1.0,0,9133,296,True,10136,True,0.500815491038715
provider_eval_linkage_shift_1.0,linkage_shift_1.0,1,9133,426,True,10473,True,0.500815491038715
provider_eval_linkage_shift_1.0,linkage_shift_1.0,2,9133,498,True,10751,True,0.500815491038715
provider_eval_linkage_shift_1.0,linkage_shift_1.0,3,9133,542,True,11002,True,0.500815491038715
provider_eval_linkage_shift_1.0,linkage_shift_1.0,4,9133,536,True,11203,True,0.500815491038715
provider_eval_linkage_shift_1.0,linkage_shift_1.0,5,9133,544,True,11417,True,0.500815491038715
provider_eval_linkage_shift_1.0,linkage_shift_1.0,6,9133,482,True,11562,True,0.500815491038715
provider_eval_linkage_shift_1.0,linkage_shift_1.0,7,9133,467,True,11754,True,0.500815491038715
provider_eval_linkage_shift_1.0,linkage_shift_1.0,8,9133,375,True,11868,True,0.500815491038715
provider_eval_linkage_shift_1.0,linkage_shift_1.0,9,9133,247,True,11947,True,0.500815491038715
provider_eval_staggered_retargeting,staggered_retargeting,0,10209,260,True,11159,True,0.4598546494734557
provider_eval_staggered_retargeting,staggered_retargeting,1,10209,367,True,11266,True,0.4598546494734557
provider_eval_staggered_retargeting,staggered_retargeting,2,10209,476,True,11375,True,0.4598546494734557
provider_eval_staggered_retargeting,staggered_retargeting,3,10209,553,True,11452,True,0.4598546494734557
provider_eval_staggered_retargeting,staggered_retargeting,4,10209,634,True,11533,True,0.4598546494734557
provider_eval_staggered_retargeting,staggered_retargeting,5,10209,745,True,11644,True,0.4598546494734557
provider_eval_staggered_retargeting,staggered_retargeting,6,10209,781,True,11680,True,0.4598546494734557
provider_eval_staggered_retargeting,staggered_retargeting,7,10209,882,True,11781,True,0.4598546494734557
provider_eval_staggered_retargeting,staggered_retargeting,8,10209,958,True,11857,True,0.4598546494734557
provider_eval_staggered_retargeting,staggered_retargeting,9,10209,1031,True,11930,True,0.4598546494734557
provider_eval_synchronized_retargeting,synchronized_retargeting,0,10269,272,True,11171,True,0.4615043281933635
provider_eval_synchronized_retargeting,synchronized_retargeting,1,10269,375,True,11274,True,0.4615043281933635
provider_eval_synchronized_retargeting,synchronized_retargeting,2,10269,481,True,11380,True,0.4615043281933635
provider_eval_synchronized_retargeting,synchronized_retargeting,3,10269,559,True,11458,True,0.4615043281933635
provider_eval_synchronized_retargeting,synchronized_retargeting,4,10269,640,True,11539,True,0.4615043281933635
provider_eval_synchronized_retargeting,synchronized_retargeting,5,10269,737,True,11636,True,0.4615043281933635
provider_eval_synchronized_retargeting,synchronized_retargeting,6,10269,801,True,11700,True,0.4615043281933635
provider_eval_synchronized_retargeting,synchronized_retargeting,7,10269,883,True,11782,True,0.4615043281933635
provider_eval_synchronized_retargeting,synchronized_retargeting,8,10269,961,True,11860,True,0.4615043281933635
provider_eval_synchronized_retargeting,synchronized_retargeting,9,10269,1033,True,11932,True,0.4615043281933635
provider_eval_shared_seed_then_expansion,shared_seed_then_expansion,0,7572,594,True,10509,True,0.45487770703000086
provider_eval_shared_seed_then_expansion,shared_seed_then_expansion,1,7572,759,True,10674,True,0.45487770703000086
provider_eval_shared_seed_then_expansion,shared_seed_then_expansion,2,7572,968,True,10883,True,0.45487770703000086
provider_eval_shared_seed_then_expansion,shared_seed_then_expansion,3,7572,1144,True,11059,True,0.45487770703000086
provider_eval_shared_seed_then_expansion,shared_seed_then_expansion,4,7572,1291,True,11206,True,0.45487770703000086
provider_eval_shared_seed_then_expansion,shared_seed_then_expansion,5,7572,1438,True,11353,True,0.45487770703000086
provider_eval_shared_seed_then_expansion,shared_seed_then_expansion,6,7572,1562,True,11477,True,0.45487770703000086
provider_eval_shared_seed_then_expansion,shared_seed_then_expansion,7,7572,1722,True,11637,True,0.45487770703000086
provider_eval_shared_seed_then_expansion,shared_seed_then_expansion,8,7572,1864,True,11779,True,0.45487770703000086
provider_eval_shared_seed_then_expansion,shared_seed_then_expansion,9,7572,1968,True,11883,True,0.45487770703000086
