campaign_id,scenario,method,report,edp_count,week_count,report_type,truth_union,estimated_union,union_relative_error,signed_union_error,population_bound_excess,mean_marginal_relative_error,pair_intersection_error,three_way_intersection_error,four_plus_intersection_error,stable_key_fragmentation,cross_edp_email_fragmentation,mean_vids_per_true_person,mean_day_dial,day_dial_churn,first_available_day,state_entries,pool_count,requires_ordered_days,notes
eval_broad_awareness_control_0,broad_awareness_control,provider_blended_ordered_pool,weeks_1_3__5_edps,5,3,prefix,6763,6571,0.02838976785450244,-0.02838976785450244,0.0,0.02404902537458961,0.1041958041958042,0.1693548387096774,0.6,0.0,0.0,4.939107728207123,0.03245494469915,0.01758675409530897,0,88909,2,True,Ordered 1:1 map blends the campaign-context prior with cumulative observed matching.
eval_broad_awareness_control_0,broad_awareness_control,provider_blended_ordered_pool,weeks_1_12__5_edps,5,12,prefix,17620,17094,0.02985244040862656,-0.02985244040862656,0.0,0.13428269360473294,0.23312721779151882,0.3063302752293578,0.3621560920830994,0.0,0.0,4.939107728207123,0.03245494469915,0.01758675409530897,0,88909,2,True,Ordered 1:1 map blends the campaign-context prior with cumulative observed matching.
eval_broad_awareness_control_0,broad_awareness_control,provider_blended_ordered_pool,weeks_7_13__5_edps,5,7,interval,17188,16385,0.046718640912264374,-0.046718640912264374,0.0,0.11317426120265184,0.20620185660675489,0.27267430569042533,0.32853982300884954,0.0,0.0,4.939107728207123,0.03245494469915,0.01758675409530897,0,88909,2,True,Ordered 1:1 map blends the campaign-context prior with cumulative observed matching.
eval_broad_awareness_control_0,broad_awareness_control,provider_blended_ordered_pool,all_weeks__5_edps,5,13,prefix,17804,17328,0.026735565041563693,-0.026735565041563693,0.0,0.1504630796166518,0.2614512668869948,0.34511420151040706,0.4112831009338621,0.0,0.0,4.939107728207123,0.03245494469915,0.01758675409530897,0,88909,2,True,Ordered 1:1 map blends the campaign-context prior with cumulative observed matching.
eval_broad_awareness_control_0,broad_awareness_control,provider_blended_ordered_pool,noncontiguous__5_edps,5,6,noncontiguous,15212,14530,0.04483302655798054,-0.04483302655798054,0.0,0.08122615518472662,0.13077092997570136,0.14445399828030955,0.1512770137524558,0.0,0.0,4.939107728207123,0.03245494469915,0.01758675409530897,0,88909,2,True,Ordered 1:1 map blends the campaign-context prior with cumulative observed matching.
eval_broad_awareness_control_0,broad_awareness_control,provider_blended_ordered_pool,weeks_1_3__10_edps,10,3,prefix,10863,10765,0.009021448955168923,-0.009021448955168923,0.0,0.018873181387498075,0.10638626874903355,0.2656755009696186,0.9533898305084746,0.0,0.0,4.939107728207123,0.03245494469915,0.01758675409530897,0,88909,2,True,Ordered 1:1 map blends the campaign-context prior with cumulative observed matching.
eval_broad_awareness_control_0,broad_awareness_control,provider_blended_ordered_pool,weeks_1_12__10_edps,10,12,prefix,17994,17956,0.0021118150494609314,-0.0021118150494609314,0.0,0.11217170911871768,0.2088363798145113,0.29265860344471845,0.4170566794807355,0.0,0.0,4.939107728207123,0.03245494469915,0.01758675409530897,0,88909,2,True,Ordered 1:1 map blends the campaign-context prior with cumulative observed matching.
eval_broad_awareness_control_0,broad_awareness_control,provider_blended_ordered_pool,all_weeks__10_edps,10,13,prefix,17999,17982,0.0009444969164953609,-0.0009444969164953609,0.0,0.12943780800275817,0.2377216034315605,0.3293932417432711,0.4663639592105931,0.0,0.0,4.939107728207123,0.03245494469915,0.01758675409530897,0,88909,2,True,Ordered 1:1 map blends the campaign-context prior with cumulative observed matching.
eval_broad_awareness_control_0,broad_awareness_control,ordered_collision_resolved_overlap_pool,weeks_1_3__2_edps,2,3,prefix,1155,1160,0.004329004329004329,0.004329004329004329,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,4.938607700427801,0.4799699286517648,0.07793839252719657,0,88909,2,True,Cumulative match-rate dial with durable mappings and exact per-EDP reach.
eval_broad_awareness_control_0,broad_awareness_control,ordered_collision_resolved_overlap_pool,weeks_1_12__2_edps,2,12,prefix,14373,14211,0.011271133375078271,-0.011271133375078271,0.0,0.0,0.029686641011544807,0.0,0.0,0.0,0.0,4.938607700427801,0.4799699286517648,0.07793839252719657,0,88909,2,True,Cumulative match-rate dial with durable mappings and exact per-EDP reach.
