campaign_id,scenario,day,basis,feature_set,best_dial,predicted_dial,absolute_dial_error
train_sales_prospecting_1,sales_prospecting,1,same_day,full,0.35624999999999996,0.3739951376019662,0.01774513760196622
train_sales_prospecting_1,sales_prospecting,1,cumulative,full,0.35624999999999996,0.3739951376019662,0.01774513760196622
train_sales_prospecting_1,sales_prospecting,3,same_day,full,0.475,0.4358904929064814,0.03910950709351857
train_sales_prospecting_1,sales_prospecting,3,cumulative,full,0.41562499999999997,0.46052721970757593,0.04490221970757596
train_sales_prospecting_1,sales_prospecting,6,same_day,full,0.475,0.45949012141298656,0.015509878587013415
train_sales_prospecting_1,sales_prospecting,6,cumulative,full,0.5343749999999999,0.5199878659956655,0.014387134004334445
train_sales_prospecting_1,sales_prospecting,9,same_day,full,0.35624999999999996,0.4126644081718894,0.05641440817188942
train_sales_prospecting_1,sales_prospecting,9,cumulative,full,0.59375,0.542014932567922,0.05173506743207801
train_sales_prospecting_1,sales_prospecting,13,same_day,full,0.475,0.47141752317160523,0.003582476828394743
train_sales_prospecting_1,sales_prospecting,13,cumulative,full,0.59375,0.5793183208869035,0.014431679113096507
train_website_retargeting_0,website_retargeting,1,same_day,full,0.95,0.7984564786477019,0.1515435213522981
train_website_retargeting_0,website_retargeting,1,cumulative,full,0.95,0.7984564786477019,0.1515435213522981
train_website_retargeting_0,website_retargeting,3,same_day,full,0.95,0.8986313434366293,0.05136865656337064
train_website_retargeting_0,website_retargeting,3,cumulative,full,0.95,0.95,0.0
train_website_retargeting_0,website_retargeting,6,same_day,full,0.890625,0.8669493651932975,0.02367563480670254
train_website_retargeting_0,website_retargeting,6,cumulative,full,0.95,0.95,0.0
train_website_retargeting_0,website_retargeting,9,same_day,full,0.95,0.868639131049098,0.081360868950902
train_website_retargeting_0,website_retargeting,9,cumulative,full,0.95,0.95,0.0
train_website_retargeting_0,website_retargeting,13,same_day,full,0.95,0.8536136900372191,0.09638630996278086
train_website_retargeting_0,website_retargeting,13,cumulative,full,0.95,0.95,0.0
train_website_retargeting_1,website_retargeting,1,same_day,full,0.95,0.7528671303245739,0.1971328696754261
train_website_retargeting_1,website_retargeting,1,cumulative,full,0.95,0.7528671303245739,0.1971328696754261
train_website_retargeting_1,website_retargeting,3,same_day,full,0.8312499999999999,0.8586646045918084,0.027414604591808445
train_website_retargeting_1,website_retargeting,3,cumulative,full,0.95,0.9429868352665784,0.007013164733421506
train_website_retargeting_1,website_retargeting,6,same_day,full,0.95,0.8914514578658792,0.05854854213412075
train_website_retargeting_1,website_retargeting,6,cumulative,full,0.95,0.95,0.0
train_website_retargeting_1,website_retargeting,9,same_day,full,0.95,0.9092084772966067,0.04079152270339326
train_website_retargeting_1,website_retargeting,9,cumulative,full,0.95,0.95,0.0
train_website_retargeting_1,website_retargeting,13,same_day,full,0.95,0.8436722733393163,0.10632772666068369
train_website_retargeting_1,website_retargeting,13,cumulative,full,0.95,0.95,0.0
train_crm_customer_list_0,crm_customer_list,1,same_day,full,0.95,0.9214909052248911,0.02850909477510888
train_crm_customer_list_0,crm_customer_list,1,cumulative,full,0.95,0.9214909052248911,0.02850909477510888
train_crm_customer_list_0,crm_customer_list,3,same_day,full,0.95,0.9154449488749936,0.03455505112500634
train_crm_customer_list_0,crm_customer_list,3,cumulative,full,0.95,0.8830588263997088,0.06694117360029117
train_crm_customer_list_0,crm_customer_list,6,same_day,full,0.95,0.9252068178044333,0.0247931821955667
train_crm_customer_list_0,crm_customer_list,6,cumulative,full,0.95,0.9364629552885231,0.013537044711476875
train_crm_customer_list_0,crm_customer_list,9,same_day,full,0.95,0.95,0.0
train_crm_customer_list_0,crm_customer_list,9,cumulative,full,0.95,0.9392316324324871,0.010768367567512871
train_crm_customer_list_0,crm_customer_list,13,same_day,full,0.8312499999999999,0.8971903441789386,0.06594034417893868
train_crm_customer_list_0,crm_customer_list,13,cumulative,full,0.95,0.95,0.0
train_crm_customer_list_1,crm_customer_list,1,same_day,full,0.95,0.95,0.0
train_crm_customer_list_1,crm_customer_list,1,cumulative,full,0.95,0.95,0.0
train_crm_customer_list_1,crm_customer_list,3,same_day,full,0.95,0.95,0.0
train_crm_customer_list_1,crm_customer_list,3,cumulative,full,0.95,0.9320022766835474,0.017997723316452552
train_crm_customer_list_1,crm_customer_list,6,same_day,full,0.95,0.8942618443451098,0.055738155654890154
train_crm_customer_list_1,crm_customer_list,6,cumulative,full,0.95,0.9434910236346554,0.006508976365344532
train_crm_customer_list_1,crm_customer_list,9,same_day,full,0.95,0.9049233019957761,0.04507669800422387
train_crm_customer_list_1,crm_customer_list,9,cumulative,full,0.95,0.9333170612954185,0.016682938704581485
train_crm_customer_list_1,crm_customer_list,13,same_day,full,0.890625,0.9156623049240028,0.0250373049240028
train_crm_customer_list_1,crm_customer_list,13,cumulative,full,0.95,0.95,0.0
train_catalog_retargeting_0,catalog_retargeting,1,same_day,full,0.35624999999999996,0.46364697280595346,0.1073969728059535
train_catalog_retargeting_0,catalog_retargeting,1,cumulative,full,0.35624999999999996,0.46364697280595346,0.1073969728059535
train_catalog_retargeting_0,catalog_retargeting,3,same_day,full,0.653125,0.5793405917049861,0.07378440829501387
train_catalog_retargeting_0,catalog_retargeting,3,cumulative,full,0.7124999999999999,0.6933729191711371,0.01912708082886283
train_catalog_retargeting_0,catalog_retargeting,6,same_day,full,0.653125,0.5867050006570002,0.0664199993429998
train_catalog_retargeting_0,catalog_retargeting,6,cumulative,full,0.7124999999999999,0.758611915561324,0.0461119155613241
train_catalog_retargeting_0,catalog_retargeting,9,same_day,full,0.653125,0.5971822720097223,0.05594272799027766
train_catalog_retargeting_0,catalog_retargeting,9,cumulative,full,0.8312499999999999,0.7805913218945195,0.050658678105480415
train_catalog_retargeting_0,catalog_retargeting,13,same_day,full,0.5343749999999999,0.5282352113862121,0.006139788613787833
train_catalog_retargeting_0,catalog_retargeting,13,cumulative,full,0.8312499999999999,0.8075858853087934,0.02366411469120655
