campaign_id,scenario,method,day,dial
eval_broad_awareness_control_0,broad_awareness_control,cohort_3_week_rank_lattice,9,0.0
eval_broad_awareness_control_0,broad_awareness_control,cohort_3_week_rank_lattice,10,0.0
eval_broad_awareness_control_0,broad_awareness_control,cohort_3_week_rank_lattice,11,0.0
eval_broad_awareness_control_0,broad_awareness_control,cohort_3_week_rank_lattice,12,0.0
eval_broad_awareness_control_0,broad_awareness_control,cohort_3_week_rank_lattice,13,0.1
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_recent,1,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_recent,2,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_recent,3,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_recent,4,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_recent,5,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_recent,6,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_recent,7,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_recent,8,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_recent,9,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_recent,10,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_recent,11,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_recent,12,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_recent,13,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_oldest,1,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_oldest,2,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_oldest,3,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_oldest,4,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_oldest,5,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_oldest,6,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_oldest,7,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_oldest,8,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_oldest,9,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_oldest,10,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_oldest,11,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_oldest,12,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_venn_oldest,13,0.0
