portfolio,scope,method,report,truth_union,estimated_union,union_relative_error,signed_union_error,state_entries
website_retargeting+app_activity_retargeting,website_retargeting,shared_map_campaign_specific_forward,full_10_edps,2183,2675,0.22537792029317452,0.22537792029317452,14742
website_retargeting+app_activity_retargeting,website_retargeting,shared_map_campaign_specific_reverse,full_10_edps,2183,2678,0.22675217590471827,0.22675217590471827,14742
website_retargeting+app_activity_retargeting,website_retargeting,shared_map_global_daily_state,full_10_edps,2183,2946,0.3495190105359597,0.3495190105359597,14742
website_retargeting+app_activity_retargeting,website_retargeting,campaign_local_maps,full_10_edps,2183,2659,0.2180485570316079,0.2180485570316079,15198
website_retargeting+app_activity_retargeting,app_activity_retargeting,shared_map_campaign_specific_forward,full_10_edps,3023,3792,0.2543830631822693,0.2543830631822693,14742
website_retargeting+app_activity_retargeting,app_activity_retargeting,shared_map_campaign_specific_reverse,full_10_edps,3023,3795,0.2553754548461793,0.2553754548461793,14742
website_retargeting+app_activity_retargeting,app_activity_retargeting,shared_map_global_daily_state,full_10_edps,3023,3488,0.1538207079060536,0.1538207079060536,14742
website_retargeting+app_activity_retargeting,app_activity_retargeting,campaign_local_maps,full_10_edps,3023,3802,0.2576910353953027,0.2576910353953027,15198
traffic_optimization+lead_generation,combined,shared_map_campaign_specific_forward,full_2_edps,10101,9416,0.06781506781506781,-0.06781506781506781,35040
traffic_optimization+lead_generation,combined,shared_map_campaign_specific_reverse,full_2_edps,10101,9413,0.06811206811206812,-0.06811206811206812,35040
traffic_optimization+lead_generation,combined,shared_map_global_daily_state,full_2_edps,10101,9410,0.06840906840906841,-0.06840906840906841,35040
traffic_optimization+lead_generation,combined,campaign_local_maps,full_2_edps,10101,9486,0.060885060885060883,-0.060885060885060883,38373
traffic_optimization+lead_generation,traffic_optimization,shared_map_campaign_specific_forward,full_2_edps,8560,8119,0.05151869158878505,-0.05151869158878505,35040
traffic_optimization+lead_generation,traffic_optimization,shared_map_campaign_specific_reverse,full_2_edps,8560,8115,0.051985981308411214,-0.051985981308411214,35040
traffic_optimization+lead_generation,traffic_optimization,shared_map_global_daily_state,full_2_edps,8560,8007,0.06460280373831775,-0.06460280373831775,35040
traffic_optimization+lead_generation,traffic_optimization,campaign_local_maps,full_2_edps,8560,8157,0.04707943925233645,-0.04707943925233645,38373
traffic_optimization+lead_generation,lead_generation,shared_map_campaign_specific_forward,full_2_edps,3029,3003,0.008583690987124463,-0.008583690987124463,35040
traffic_optimization+lead_generation,lead_generation,shared_map_campaign_specific_reverse,full_2_edps,3029,2996,0.010894684714427203,-0.010894684714427203,35040
traffic_optimization+lead_generation,lead_generation,shared_map_global_daily_state,full_2_edps,3029,3145,0.03829646748101684,0.03829646748101684,35040
traffic_optimization+lead_generation,lead_generation,campaign_local_maps,full_2_edps,3029,2979,0.01650709805216243,-0.01650709805216243,38373
traffic_optimization+lead_generation,combined,shared_map_campaign_specific_forward,weeks_5_12_5_edps,12302,12113,0.015363355551942773,-0.015363355551942773,35040
traffic_optimization+lead_generation,combined,shared_map_campaign_specific_reverse,weeks_5_12_5_edps,12302,12103,0.016176231507072023,-0.016176231507072023,35040
traffic_optimization+lead_generation,combined,shared_map_global_daily_state,weeks_5_12_5_edps,12302,11969,0.027068769305803934,-0.027068769305803934,35040
traffic_optimization+lead_generation,combined,campaign_local_maps,weeks_5_12_5_edps,12302,12161,0.011461550967322386,-0.011461550967322386,38373
traffic_optimization+lead_generation,traffic_optimization,shared_map_campaign_specific_forward,weeks_5_12_5_edps,10734,10818,0.007825600894354388,0.007825600894354388,35040
traffic_optimization+lead_generation,traffic_optimization,shared_map_campaign_specific_reverse,weeks_5_12_5_edps,10734,10806,0.006707657909446618,0.006707657909446618,35040
traffic_optimization+lead_generation,traffic_optimization,shared_map_global_daily_state,weeks_5_12_5_edps,10734,10394,0.031675051239053474,-0.031675051239053474,35040
traffic_optimization+lead_generation,traffic_optimization,campaign_local_maps,weeks_5_12_5_edps,10734,10843,0.010154648779578909,0.010154648779578909,38373
traffic_optimization+lead_generation,lead_generation,shared_map_campaign_specific_forward,weeks_5_12_5_edps,3880,4026,0.03762886597938144,0.03762886597938144,35040
traffic_optimization+lead_generation,lead_generation,shared_map_campaign_specific_reverse,weeks_5_12_5_edps,3880,4006,0.032474226804123714,0.032474226804123714,35040
traffic_optimization+lead_generation,lead_generation,shared_map_global_daily_state,weeks_5_12_5_edps,3880,4493,0.15798969072164948,0.15798969072164948,35040
traffic_optimization+lead_generation,lead_generation,campaign_local_maps,weeks_5_12_5_edps,3880,3929,0.012628865979381444,0.012628865979381444,38373
traffic_optimization+lead_generation,combined,shared_map_campaign_specific_forward,full_5_edps,13942,13811,0.009396069430497776,-0.009396069430497776,35040
traffic_optimization+lead_generation,combined,shared_map_campaign_specific_reverse,full_5_edps,13942,13804,0.009898149476402237,-0.009898149476402237,35040
traffic_optimization+lead_generation,combined,shared_map_global_daily_state,full_5_edps,13942,13673,0.019294218906900015,-0.019294218906900015,35040
traffic_optimization+lead_generation,combined,campaign_local_maps,full_5_edps,13942,13863,0.005666331946636064,-0.005666331946636064,38373
traffic_optimization+lead_generation,traffic_optimization,shared_map_campaign_specific_forward,full_5_edps,12595,12736,0.011194918618499404,0.011194918618499404,35040
traffic_optimization+lead_generation,traffic_optimization,shared_map_campaign_specific_reverse,full_5_edps,12595,12727,0.010480349344978166,0.010480349344978166,35040
traffic_optimization+lead_generation,traffic_optimization,shared_map_global_daily_state,full_5_edps,12595,12314,0.022310440651052005,-0.022310440651052005,35040
traffic_optimization+lead_generation,traffic_optimization,campaign_local_maps,full_5_edps,12595,12770,0.013894402540690751,0.013894402540690751,38373
traffic_optimization+lead_generation,lead_generation,shared_map_campaign_specific_forward,full_5_edps,4505,4817,0.06925638179800223,0.06925638179800223,35040
traffic_optimization+lead_generation,lead_generation,shared_map_campaign_specific_reverse,full_5_edps,4505,4792,0.0637069922308546,0.0637069922308546,35040
traffic_optimization+lead_generation,lead_generation,shared_map_global_daily_state,full_5_edps,4505,5408,0.2004439511653718,0.2004439511653718,35040
traffic_optimization+lead_generation,lead_generation,campaign_local_maps,full_5_edps,4505,4702,0.0437291897891232,0.0437291897891232,38373
traffic_optimization+lead_generation,combined,shared_map_campaign_specific_forward,full_10_edps,15346,15873,0.03434119640297146,0.03434119640297146,35040
traffic_optimization+lead_generation,combined,shared_map_campaign_specific_reverse,full_10_edps,15346,15866,0.03388505147921282,0.03388505147921282,35040
traffic_optimization+lead_generation,combined,shared_map_global_daily_state,full_10_edps,15346,15771,0.02769451322820279,0.02769451322820279,35040
traffic_optimization+lead_generation,combined,campaign_local_maps,full_10_edps,15346,15913,0.03694773882444937,0.03694773882444937,38373
traffic_optimization+lead_generation,traffic_optimization,shared_map_campaign_specific_forward,full_10_edps,14265,15136,0.06105853487556957,0.06105853487556957,35040
traffic_optimization+lead_generation,traffic_optimization,shared_map_campaign_specific_reverse,full_10_edps,14265,15127,0.06042762004907115,0.06042762004907115,35040
traffic_optimization+lead_generation,traffic_optimization,shared_map_global_daily_state,full_10_edps,14265,14638,0.026147914475990186,0.026147914475990186,35040
traffic_optimization+lead_generation,traffic_optimization,campaign_local_maps,full_10_edps,14265,15177,0.06393270241850683,0.06393270241850683,38373
traffic_optimization+lead_generation,lead_generation,shared_map_campaign_specific_forward,full_10_edps,5117,5905,0.15399648231385576,0.15399648231385576,35040
traffic_optimization+lead_generation,lead_generation,shared_map_campaign_specific_reverse,full_10_edps,5117,5869,0.14696111002540552,0.14696111002540552,35040
traffic_optimization+lead_generation,lead_generation,shared_map_global_daily_state,full_10_edps,5117,7138,0.3949579831932773,0.3949579831932773,35040
traffic_optimization+lead_generation,lead_generation,campaign_local_maps,full_10_edps,5117,5727,0.11921047488762947,0.11921047488762947,38373
lookalike_prospecting+unrelated_niche_control,combined,shared_map_campaign_specific_forward,full_2_edps,9153,8455,0.07625915000546268,-0.07625915000546268,31661
lookalike_prospecting+unrelated_niche_control,combined,shared_map_campaign_specific_reverse,full_2_edps,9153,8454,0.07636840380203212,-0.07636840380203212,31661
lookalike_prospecting+unrelated_niche_control,combined,shared_map_global_daily_state,full_2_edps,9153,8463,0.07538511963290724,-0.07538511963290724,31661
lookalike_prospecting+unrelated_niche_control,combined,campaign_local_maps,full_2_edps,9153,8460,0.07571288102261553,-0.07571288102261553,34865
lookalike_prospecting+unrelated_niche_control,lookalike_prospecting,shared_map_campaign_specific_forward,full_2_edps,7501,7238,0.03506199173443541,-0.03506199173443541,31661
lookalike_prospecting+unrelated_niche_control,lookalike_prospecting,shared_map_campaign_specific_reverse,full_2_edps,7501,7237,0.03519530729236102,-0.03519530729236102,31661
lookalike_prospecting+unrelated_niche_control,lookalike_prospecting,shared_map_global_daily_state,full_2_edps,7501,7202,0.03986135181975736,-0.03986135181975736,31661
lookalike_prospecting+unrelated_niche_control,lookalike_prospecting,campaign_local_maps,full_2_edps,7501,7238,0.03506199173443541,-0.03506199173443541,34865
lookalike_prospecting+unrelated_niche_control,unrelated_niche_control,shared_map_campaign_specific_forward,full_2_edps,3100,2852,0.08,-0.08,31661
lookalike_prospecting+unrelated_niche_control,unrelated_niche_control,shared_map_campaign_specific_reverse,full_2_edps,3100,2851,0.08032258064516129,-0.08032258064516129,31661
lookalike_prospecting+unrelated_niche_control,unrelated_niche_control,shared_map_global_daily_state,full_2_edps,3100,2892,0.06709677419354838,-0.06709677419354838,31661
lookalike_prospecting+unrelated_niche_control,unrelated_niche_control,campaign_local_maps,full_2_edps,3100,2844,0.08258064516129032,-0.08258064516129032,34865
lookalike_prospecting+unrelated_niche_control,combined,shared_map_campaign_specific_forward,weeks_5_12_5_edps,11404,11056,0.03051560855840056,-0.03051560855840056,31661
lookalike_prospecting+unrelated_niche_control,combined,shared_map_campaign_specific_reverse,weeks_5_12_5_edps,11404,11056,0.03051560855840056,-0.03051560855840056,31661
lookalike_prospecting+unrelated_niche_control,combined,shared_map_global_daily_state,weeks_5_12_5_edps,11404,11054,0.030690985619081023,-0.030690985619081023,31661
lookalike_prospecting+unrelated_niche_control,combined,campaign_local_maps,weeks_5_12_5_edps,11404,11056,0.03051560855840056,-0.03051560855840056,34865
lookalike_prospecting+unrelated_niche_control,lookalike_prospecting,shared_map_campaign_specific_forward,weeks_5_12_5_edps,9340,9627,0.030728051391862955,0.030728051391862955,31661
lookalike_prospecting+unrelated_niche_control,lookalike_prospecting,shared_map_campaign_specific_reverse,weeks_5_12_5_edps,9340,9627,0.030728051391862955,0.030728051391862955,31661
lookalike_prospecting+unrelated_niche_control,lookalike_prospecting,shared_map_global_daily_state,weeks_5_12_5_edps,9340,9543,0.021734475374732335,0.021734475374732335,31661
lookalike_prospecting+unrelated_niche_control,lookalike_prospecting,campaign_local_maps,weeks_5_12_5_edps,9340,9631,0.031156316916488222,0.031156316916488222,34865
lookalike_prospecting+unrelated_niche_control,unrelated_niche_control,shared_map_campaign_specific_forward,weeks_5_12_5_edps,4337,4105,0.05349319806317731,-0.05349319806317731,31661
lookalike_prospecting+unrelated_niche_control,unrelated_niche_control,shared_map_campaign_specific_reverse,weeks_5_12_5_edps,4337,4103,0.05395434632234263,-0.05395434632234263,31661
lookalike_prospecting+unrelated_niche_control,unrelated_niche_control,shared_map_global_daily_state,weeks_5_12_5_edps,4337,4208,0.029744062716163245,-0.029744062716163245,31661
lookalike_prospecting+unrelated_niche_control,unrelated_niche_control,campaign_local_maps,weeks_5_12_5_edps,4337,4082,0.05879640304357851,-0.05879640304357851,34865
lookalike_prospecting+unrelated_niche_control,combined,shared_map_campaign_specific_forward,full_5_edps,12734,12476,0.020260719334066278,-0.020260719334066278,31661
lookalike_prospecting+unrelated_niche_control,combined,shared_map_campaign_specific_reverse,full_5_edps,12734,12476,0.020260719334066278,-0.020260719334066278,31661
lookalike_prospecting+unrelated_niche_control,combined,shared_map_global_daily_state,full_5_edps,12734,12484,0.019632479974870425,-0.019632479974870425,31661
lookalike_prospecting+unrelated_niche_control,combined,campaign_local_maps,full_5_edps,12734,12484,0.019632479974870425,-0.019632479974870425,34865
lookalike_prospecting+unrelated_niche_control,lookalike_prospecting,shared_map_campaign_specific_forward,full_5_edps,10497,11082,0.05573020863103744,0.05573020863103744,31661
lookalike_prospecting+unrelated_niche_control,lookalike_prospecting,shared_map_campaign_specific_reverse,full_5_edps,10497,11082,0.05573020863103744,0.05573020863103744,31661
lookalike_prospecting+unrelated_niche_control,lookalike_prospecting,shared_map_global_daily_state,full_5_edps,10497,11010,0.04887110603029437,0.04887110603029437,31661
lookalike_prospecting+unrelated_niche_control,lookalike_prospecting,campaign_local_maps,full_5_edps,10497,11092,0.056682861770029534,0.056682861770029534,34865
lookalike_prospecting+unrelated_niche_control,unrelated_niche_control,shared_map_campaign_specific_forward,full_5_edps,5315,5031,0.05343367826904986,-0.05343367826904986,31661
lookalike_prospecting+unrelated_niche_control,unrelated_niche_control,shared_map_campaign_specific_reverse,full_5_edps,5315,5029,0.05380997177798683,-0.05380997177798683,31661
lookalike_prospecting+unrelated_niche_control,unrelated_niche_control,shared_map_global_daily_state,full_5_edps,5315,5155,0.030103480714957668,-0.030103480714957668,31661
lookalike_prospecting+unrelated_niche_control,unrelated_niche_control,campaign_local_maps,full_5_edps,5315,5000,0.059266227657572904,-0.059266227657572904,34865
lookalike_prospecting+unrelated_niche_control,combined,shared_map_campaign_specific_forward,full_10_edps,13790,14718,0.06729514140681653,0.06729514140681653,31661
lookalike_prospecting+unrelated_niche_control,combined,shared_map_campaign_specific_reverse,full_10_edps,13790,14718,0.06729514140681653,0.06729514140681653,31661
lookalike_prospecting+unrelated_niche_control,combined,shared_map_global_daily_state,full_10_edps,13790,14720,0.0674401740391588,0.0674401740391588,31661
lookalike_prospecting+unrelated_niche_control,combined,campaign_local_maps,full_10_edps,13790,14724,0.06773023930384336,0.06773023930384336,34865
lookalike_prospecting+unrelated_niche_control,lookalike_prospecting,shared_map_campaign_specific_forward,full_10_edps,11632,13408,0.15268225584594222,0.15268225584594222,31661
lookalike_prospecting+unrelated_niche_control,lookalike_prospecting,shared_map_campaign_specific_reverse,full_10_edps,11632,13408,0.15268225584594222,0.15268225584594222,31661
