scenario,scenario_label,variant,similarity_multiplier,matchability_shift,replicate,report,edp_count,method,method_label,relative_error
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 10 EDPs",10,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.0013351134842616047
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 2 EDPs",2,baseline_vid,Existing VID,0.022161877106905693
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 2 EDPs",2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.023190923404347894
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 2 EDPs",2,two_group_latent_mixture,Two-group mixture,0.06781480054828669
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 2 EDPs",2,pairwise_maxent_direct,Direct pair + higher-order inference,0.0035798695274557547
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 2 EDPs",2,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.06929406093192912
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 5 EDPs",5,baseline_vid,Existing VID,0.015503861569381787
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 5 EDPs",5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.027133441752973515
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 5 EDPs",5,two_group_latent_mixture,Two-group mixture,0.027133441752973643
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 5 EDPs",5,pairwise_maxent_direct,Direct pair + higher-order inference,0.0074493741653441905
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 5 EDPs",5,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.027133221398854664
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 10 EDPs",10,baseline_vid,Existing VID,0.0023529716516487603
