scenario,scenario_label,campaign,replicate,report,week_count,edp_count,method,method_label,truth_union,estimate,relative_error,signed_error,mean_edp_reach_fraction,reference_full_intersection
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 5-12, 2 EDPs",8,2,two_group_latent_mixture,Two-group mixture,88710000.0,94606100.24657041,0.0664648883617451,0.0664648883617451,0.48691666666666666,12439431.241215844
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 5-12, 2 EDPs",8,2,pairwise_maxent_direct,Direct pair + higher-order inference,88710000.0,91710167.87899984,0.03381995129072082,0.03381995129072082,0.48691666666666666,12439431.241215844
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 5-12, 2 EDPs",8,2,pairwise_maxent_mixture,Mixture pair + higher-order inference,88710000.0,94883500.02792948,0.06959192907146303,0.06959192907146303,0.48691666666666666,12439431.241215844
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 2 EDPs",13,2,baseline_vid,Existing VID,102530000.0,102679840.0,0.0014614259241197698,0.0014614259241197698,0.6200833333333333,21469707.792573433
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 2 EDPs",13,2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,102530000.0,106307874.48903464,0.03684652773856079,0.03684652773856079,0.6200833333333333,21469707.792573433
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 2 EDPs",13,2,two_group_latent_mixture,Two-group mixture,102530000.0,110624875.84910212,0.07895129083294768,0.07895129083294768,0.6200833333333333,21469707.792573433
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 2 EDPs",13,2,pairwise_maxent_direct,Direct pair + higher-order inference,102530000.0,104653016.66041778,0.02070629728291993,0.02070629728291993,0.6200833333333333,21469707.792573433
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 2 EDPs",13,2,pairwise_maxent_mixture,Mixture pair + higher-order inference,102530000.0,110890420.90559866,0.08154121628400132,0.08154121628400132,0.6200833333333333,21469707.792573433
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 7-13, 5 EDPs",7,5,baseline_vid,Existing VID,113610000.0,113875748.68365748,0.002339131094599791,0.002339131094599791,0.41696666666666665,79999.66277151224
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 7-13, 5 EDPs",7,5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,113610000.0,118755450.51246971,0.045290471899214056,0.045290471899214056,0.41696666666666665,79999.66277151224
