split,scenario,scenario_label,campaign,report,week_count,edp_count,method,method_label,truth_total,estimate_total,runtime_seconds,category,value
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,provider_context_learned_demo,Provider total + contextual panel demo adjustment,28452000.0,28075455.903086554,0.0001674999948590994,demographic_distribution_error,0.012013127080619948
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,provider_context_learned_demo,Provider total + contextual panel demo adjustment,28452000.0,28075455.903086554,0.0001674999948590994,demographic_sum_error,2.6537701195814696e-16
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,provider_context_learned_demo,Provider total + contextual panel demo adjustment,28452000.0,28075455.903086554,0.0001674999948590994,demographic_population_violation,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,oracle_total_proportional,Oracle total + proportional demos,28452000.0,28452000.0,0.0,total_error,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,oracle_total_proportional,Oracle total + proportional demos,28452000.0,28452000.0,0.0,demographic_reach_error,0.06500613492957312
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,oracle_total_proportional,Oracle total + proportional demos,28452000.0,28452000.0,0.0,demographic_distribution_error,0.03250306746478658
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,oracle_total_proportional,Oracle total + proportional demos,28452000.0,28452000.0,0.0,demographic_sum_error,2.618649162422265e-16
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,oracle_total_proportional,Oracle total + proportional demos,28452000.0,28452000.0,0.0,demographic_population_violation,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,oracle_total_learned_demo,Oracle total + contextual panel demos,28452000.0,28452000.0,0.0,total_error,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,oracle_total_learned_demo,Oracle total + contextual panel demos,28452000.0,28452000.0,0.0,demographic_reach_error,0.024026254161239893
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,oracle_total_learned_demo,Oracle total + contextual panel demos,28452000.0,28452000.0,0.0,demographic_distribution_error,0.012013127080619947
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,oracle_total_learned_demo,Oracle total + contextual panel demos,28452000.0,28452000.0,0.0,demographic_sum_error,1.3093245812111325e-16
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,oracle_total_learned_demo,Oracle total + contextual panel demos,28452000.0,28452000.0,0.0,demographic_population_violation,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,existing_vid,Existing VID,82168000.0,82291579.6,0.0,total_error,0.0015039869535584903
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,existing_vid,Existing VID,82168000.0,82291579.6,0.0,demographic_reach_error,0.05563266358926595
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,existing_vid,Existing VID,82168000.0,82291579.6,0.0,demographic_distribution_error,0.028025748913818534
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,existing_vid,Existing VID,82168000.0,82291579.6,0.0,demographic_sum_error,1.810775934339661e-16
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,existing_vid,Existing VID,82168000.0,82291579.6,0.0,demographic_population_violation,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,direct_pair_proportional,Direct pair inference + proportional demos,82168000.0,84000643.77706999,0.000751459039747715,total_error,0.02230361913482117
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,direct_pair_proportional,Direct pair inference + proportional demos,82168000.0,84000643.77706999,0.000751459039747715,demographic_reach_error,0.05558888034671289
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,direct_pair_proportional,Direct pair inference + proportional demos,82168000.0,84000643.77706999,0.000751459039747715,demographic_distribution_error,0.02802574891381854
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,direct_pair_proportional,Direct pair inference + proportional demos,82168000.0,84000643.77706999,0.000751459039747715,demographic_sum_error,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,direct_pair_proportional,Direct pair inference + proportional demos,82168000.0,84000643.77706999,0.000751459039747715,demographic_population_violation,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,mixture_pair_proportional,Mixture pair inference + proportional demos,82168000.0,86114322.51501065,0.0006821670103818178,total_error,0.048027486552072035
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,mixture_pair_proportional,Mixture pair inference + proportional demos,82168000.0,86114322.51501065,0.0006821670103818178,demographic_reach_error,0.06436067376444504
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,mixture_pair_proportional,Mixture pair inference + proportional demos,82168000.0,86114322.51501065,0.0006821670103818178,demographic_distribution_error,0.028025748913818482
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,mixture_pair_proportional,Mixture pair inference + proportional demos,82168000.0,86114322.51501065,0.0006821670103818178,demographic_sum_error,1.7303928961701143e-16
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,mixture_pair_proportional,Mixture pair inference + proportional demos,82168000.0,86114322.51501065,0.0006821670103818178,demographic_population_violation,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_reference_proportional,"Provider total, Reference-ID inputs only + proportional demos",82168000.0,82822325.91747507,0.00014833302702754736,total_error,0.007963269368550708
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_reference_proportional,"Provider total, Reference-ID inputs only + proportional demos",82168000.0,82822325.91747507,0.00014833302702754736,demographic_reach_error,0.05386609621384073
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_reference_proportional,"Provider total, Reference-ID inputs only + proportional demos",82168000.0,82822325.91747507,0.00014833302702754736,demographic_distribution_error,0.028025748913818566
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_reference_proportional,"Provider total, Reference-ID inputs only + proportional demos",82168000.0,82822325.91747507,0.00014833302702754736,demographic_sum_error,1.7991720262354512e-16
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_reference_proportional,"Provider total, Reference-ID inputs only + proportional demos",82168000.0,82822325.91747507,0.00014833302702754736,demographic_population_violation,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_context_proportional,Provider total with context + proportional demos,82168000.0,81963556.19330253,0.00015504099428653717,total_error,0.002488119544074006
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_context_proportional,Provider total with context + proportional demos,82168000.0,81963556.19330253,0.00015504099428653717,demographic_reach_error,0.056744395895504465
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_context_proportional,Provider total with context + proportional demos,82168000.0,81963556.19330253,0.00015504099428653717,demographic_distribution_error,0.02802574891381854
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_context_proportional,Provider total with context + proportional demos,82168000.0,81963556.19330253,0.00015504099428653717,demographic_sum_error,1.8180227757205675e-16
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_context_proportional,Provider total with context + proportional demos,82168000.0,81963556.19330253,0.00015504099428653717,demographic_population_violation,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_context_fixed_demo,Provider total + fixed panel demo adjustment,82168000.0,81963556.19330253,0.00015504099428653717,total_error,0.002488119544074006
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_context_fixed_demo,Provider total + fixed panel demo adjustment,82168000.0,81963556.19330253,0.00015504099428653717,demographic_reach_error,0.10644622485574289
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_context_fixed_demo,Provider total + fixed panel demo adjustment,82168000.0,81963556.19330253,0.00015504099428653717,demographic_distribution_error,0.0528228095980684
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_context_fixed_demo,Provider total + fixed panel demo adjustment,82168000.0,81963556.19330253,0.00015504099428653717,demographic_sum_error,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_context_fixed_demo,Provider total + fixed panel demo adjustment,82168000.0,81963556.19330253,0.00015504099428653717,demographic_population_violation,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_context_learned_demo,Provider total + contextual panel demo adjustment,82168000.0,81963556.19330253,0.00015504099428653717,total_error,0.002488119544074006
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_context_learned_demo,Provider total + contextual panel demo adjustment,82168000.0,81963556.19330253,0.00015504099428653717,demographic_reach_error,0.018473138301907912
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_context_learned_demo,Provider total + contextual panel demo adjustment,82168000.0,81963556.19330253,0.00015504099428653717,demographic_distribution_error,0.009143160963600957
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_5_12__2_edps,8,2,provider_context_learned_demo,Provider total + contextual panel demo adjustment,82168000.0,81963556.19330253,0.00015504099428653717,demographic_sum_error,1.8180227757205675e-16
