campaign_id,scenario,method,report,report_type,edp_count,week_count,truth_union,estimated_union,union_relative_error
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,weeks_5_12__2_edps,interval,2,8,6163,6150,0.0021093623235437287
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,weeks_1_3__5_edps,prefix,5,3,5971,5971,0.0
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,weeks_1_12__5_edps,prefix,5,12,12519,12519,0.0
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,weeks_7_13__5_edps,interval,5,7,9080,8558,0.057488986784140966
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,all_weeks__5_edps,prefix,5,13,12658,12658,0.0
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,noncontiguous__5_edps,noncontiguous,5,6,8735,8171,0.06456783056668575
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,weeks_1_3__10_edps,prefix,10,3,7369,7369,0.0
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,weeks_1_12__10_edps,prefix,10,12,14229,14229,0.0
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,all_weeks__10_edps,prefix,10,13,14335,14335,0.0
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,weeks_5_12__10_edps,interval,10,8,12519,11931,0.04696860771627127
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,weeks_7_13__10_edps,interval,10,7,11185,10426,0.06785873938310237
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,noncontiguous__10_edps,noncontiguous,10,6,10718,9633,0.10123157305467438
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,noncontiguous__2_edps,noncontiguous,2,6,5432,5262,0.0312960235640648
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,weeks_1_3__2_edps,prefix,2,3,3412,3412,0.0
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,weeks_1_12__2_edps,prefix,2,12,8450,8450,0.0
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,weeks_5_12__2_edps,interval,2,8,6163,5845,0.051598247606685056
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,weeks_1_3__5_edps,prefix,5,3,5971,5971,0.0
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,weeks_1_12__5_edps,prefix,5,12,12519,12519,0.0
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,weeks_7_13__5_edps,interval,5,7,9080,7954,0.12400881057268723
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,all_weeks__5_edps,prefix,5,13,12658,12658,0.0
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,noncontiguous__5_edps,noncontiguous,5,6,8735,8838,0.011791642816256439
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,weeks_1_3__10_edps,prefix,10,3,7369,7369,0.0
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,weeks_1_12__10_edps,prefix,10,12,14229,14229,0.0
